tick	day	mean_energy	std_energy	min_energy	max_energy	pct_hungry	pct_starving
14016	292	15.89	1.25	0.22	18.11	0.5	0.2
14064	293	15.90	1.24	0.13	18.12	0.5	0.2
14112	294	15.91	1.23	0.08	18.18	0.5	0.2
14160	295	15.91	1.21	0.00	18.02	0.5	0.2
14208	296	15.93	1.20	0.00	18.08	0.5	0.2
14256	297	15.93	1.19	0.00	17.93	0.4	0.2
14304	298	15.94	1.19	0.00	17.93	0.4	0.2
14352	299	15.94	1.18	0.00	18.00	0.4	0.1
14400	300	15.94	1.18	0.09	17.92	0.4	0.1
14448	301	15.98	1.17	0.75	17.87	0.3	0.1
14496	302	16.02	1.15	0.89	18.12	0.3	0.1
14544	303	16.06	1.14	1.07	18.29	0.3	0.1
14592	304	16.09	1.12	1.04	18.16	0.3	0.1
14640	305	16.13	1.11	0.97	18.12	0.3	0.1
14688	306	16.17	1.10	0.88	18.14	0.3	0.1
14736	307	16.21	1.08	0.80	18.08	0.3	0.1
14784	308	16.24	1.07	0.75	18.24	0.3	0.1
14832	309	16.28	1.05	0.67	18.18	0.3	0.1
14880	310	16.31	1.04	0.58	18.10	0.3	0.1
14928	311	16.33	1.02	0.48	18.15	0.3	0.1
14976	312	16.36	1.01	0.37	18.20	0.2	0.1
15024	313	16.38	1.00	0.30	18.10	0.2	0.1
15072	314	16.41	0.98	0.23	18.19	0.2	0.1
15120	315	16.43	0.98	0.17	18.20	0.2	0.1
15168	316	16.45	0.97	0.10	18.18	0.2	0.1
15216	317	16.46	0.96	0.04	18.10	0.2	0.1
15264	318	16.47	0.95	0.00	18.13	0.2	0.1
15312	319	16.49	0.95	0.00	18.19	0.2	0.1
15360	320	16.50	0.94	0.00	18.18	0.1	0.1
15408	321	16.51	0.93	0.14	18.20	0.1	0.1
15456	322	16.52	0.93	0.36	18.27	0.1	0.1
15504	323	16.53	0.92	1.18	18.23	0.1	0.1
15552	324	16.54	0.91	2.40	18.29	0.1	0.1
15600	325	16.54	0.90	2.64	18.29	0.1	0.1
15648	326	16.54	0.90	2.89	18.29	0.1	0.1
15696	327	16.54	0.89	3.15	18.16	0.1	0.1
15744	328	16.55	0.89	3.39	18.23	0.1	0.1
15792	329	16.55	0.89	3.64	18.18	0.2	0.1
15840	330	16.55	0.88	3.90	18.23	0.1	0.1
15888	331	16.55	0.88	4.48	18.24	0.1	0.1
15936	332	16.54	0.87	4.73	18.30	0.1	0.1
15984	333	16.53	0.86	5.38	18.32	0.1	0.0
16032	334	16.51	0.86	5.64	18.19	0.1	0.0
16080	335	16.49	0.85	6.17	18.25	0.1	0.0
16128	336	16.47	0.85	6.58	18.20	0.1	0.0
16176	337	16.45	0.84	6.90	18.40	0.1	0.0
16224	338	16.43	0.84	7.10	18.34	0.2	0.0
16272	339	16.41	0.83	7.40	18.30	0.2	0.0
16320	340	16.38	0.82	7.83	18.26	0.2	0.0
16368	341	16.36	0.82	8.31	18.25	0.2	0.0
16416	342	16.33	0.82	8.62	18.25	0.2	0.0
16464	343	16.30	0.81	8.54	18.23	0.2	0.0
16512	344	16.27	0.81	8.41	18.35	0.2	0.0
16560	345	16.25	0.81	8.28	18.27	0.2	0.0
16608	346	16.22	0.81	8.14	18.35	0.1	0.0
16656	347	16.19	0.81	7.99	18.58	0.1	0.0
16704	348	16.16	0.82	7.84	18.65	0.1	0.0
16752	349	16.14	0.82	7.70	18.56	0.1	0.0
16800	350	16.11	0.82	7.65	18.47	0.1	0.0
16848	351	16.09	0.83	7.86	18.56	0.1	0.0
16896	352	16.06	0.83	8.08	18.41	0.1	0.0
16944	353	16.04	0.83	7.94	18.32	0.1	0.0
16992	354	16.02	0.83	7.80	18.19	0.1	0.0
17040	355	16.00	0.84	7.67	18.27	0.1	0.0
17088	356	15.98	0.84	7.53	18.43	0.1	0.0
17136	357	15.96	0.85	7.39	18.46	0.1	0.0
17184	358	15.94	0.85	7.25	18.32	0.1	0.0
17232	359	15.92	0.87	7.12	18.35	0.1	0.0
17280	360	15.90	0.87	7.01	18.30	0.1	0.0
17328	361	15.88	0.88	6.89	18.41	0.1	0.0
17376	362	15.86	0.89	6.75	18.39	0.1	0.0
17424	363	15.84	0.91	6.61	18.26	0.2	0.0
17472	364	15.83	0.91	6.46	18.76	0.2	0.0
17520	365	15.82	0.91	6.30	18.79	0.1	0.0
17568	366	15.80	0.92	6.15	18.74	0.1	0.0
17616	367	15.79	0.92	5.99	18.59	0.1	0.0
17664	368	15.78	0.93	5.84	18.44	0.1	0.0
17712	369	15.77	0.94	5.68	18.31	0.1	0.0
17760	370	15.76	0.94	5.52	18.40	0.1	0.0
17808	371	15.75	0.96	5.37	18.26	0.1	0.0
17856	372	15.74	0.96	5.22	18.18	0.1	0.0
17904	373	15.74	0.97	5.06	18.06	0.1	0.0
17952	374	15.73	0.98	4.91	18.07	0.2	0.1
18000	375	15.72	0.99	4.75	18.12	0.2	0.1
18048	376	15.72	1.00	4.60	18.08	0.1	0.1
18096	377	15.72	1.00	4.44	18.00	0.1	0.1
18144	378	15.72	1.01	4.28	18.20	0.1	0.1
18192	379	15.72	1.01	4.13	18.08	0.2	0.1
18240	380	15.72	1.01	3.97	18.09	0.2	0.1
18288	381	15.72	1.01	3.80	18.01	0.2	0.1
18336	382	15.72	1.01	3.65	18.00	0.2	0.1
18384	383	15.72	1.01	3.84	18.06	0.1	0.1
18432	384	15.72	1.00	4.10	18.28	0.2	0.1
18480	385	15.73	1.00	4.35	18.26	0.2	0.1
18528	386	15.73	0.99	4.72	18.14	0.2	0.1
18576	387	15.74	0.99	4.97	18.35	0.2	0.1
18624	388	15.75	0.98	5.55	18.52	0.2	0.0
18672	389	15.76	0.98	5.97	18.38	0.2	0.0
18720	390	15.76	0.98	6.06	18.47	0.2	0.0
18768	391	15.77	0.97	5.92	18.45	0.2	0.0
18816	392	15.78	0.97	5.77	18.44	0.2	0.0
18864	393	15.78	0.97	5.62	18.45	0.2	0.0
18912	394	15.78	0.97	5.48	18.60	0.2	0.0
18960	395	15.79	0.97	5.34	18.45	0.2	0.0
19008	396	15.79	0.97	5.20	18.31	0.2	0.0
19056	397	15.80	0.97	5.04	18.31	0.2	0.0
19104	398	15.80	0.98	4.88	18.28	0.2	0.1
19152	399	15.81	0.97	4.73	18.15	0.2	0.1
19200	400	15.81	0.97	4.57	18.24	0.2	0.1
19248	401	15.82	0.97	4.43	18.11	0.2	0.1
19296	402	15.82	0.97	4.29	18.09	0.2	0.1
19344	403	15.83	0.97	4.15	18.11	0.2	0.1
19392	404	15.84	0.96	4.02	18.07	0.2	0.1
19440	405	15.84	0.96	3.87	18.08	0.2	0.1
19488	406	15.85	0.95	3.71	17.96	0.2	0.1
19536	407	15.85	0.95	3.56	18.07	0.1	0.1
19584	408	15.86	0.95	3.40	18.08	0.2	0.1
19632	409	15.86	0.95	3.23	18.04	0.2	0.1
19680	410	15.86	0.95	3.06	17.92	0.2	0.1
19728	411	15.87	0.95	2.90	17.94	0.2	0.1
19776	412	15.87	0.96	2.73	18.12	0.2	0.1
19824	413	15.88	0.96	2.57	18.03	0.2	0.1
19872	414	15.88	0.96	2.40	17.99	0.2	0.1
19920	415	15.88	0.95	2.24	17.92	0.2	0.1
19968	416	15.89	0.95	2.08	18.10	0.2	0.1
20016	417	15.89	0.96	1.94	18.04	0.2	0.1
20064	418	15.90	0.95	1.80	18.08	0.2	0.1
20112	419	15.90	0.95	1.66	18.11	0.2	0.1
20160	420	15.91	0.95	1.55	18.13	0.2	0.1
20208	421	15.91	0.95	1.45	18.10	0.2	0.1
20256	422	15.95	0.94	1.35	18.29	0.2	0.1
20304	423	15.98	0.94	1.22	18.29	0.2	0.1
20352	424	16.01	0.94	1.09	18.40	0.2	0.1
20400	425	16.04	0.94	0.97	18.26	0.2	0.1
20448	426	16.07	0.94	0.84	18.40	0.2	0.1
20496	427	16.10	0.93	0.70	18.26	0.2	0.1
20544	428	16.13	0.94	0.58	18.27	0.2	0.1
20592	429	16.15	0.94	0.57	18.43	0.2	0.1
20640	430	16.17	0.94	0.83	18.47	0.2	0.1
20688	431	16.20	0.94	1.08	18.33	0.2	0.1
20736	432	16.22	0.94	1.41	18.20	0.2	0.1
